ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"""E-marketplace"" (Sàn giao dịch điện tử) khác với ""Marketplace"" (Chợ truyền thống) ở điểm cơ bản nào?",Chỉ bán hàng vào giờ hành chính.,Là không gian ảo (Marketspace).,Chỉ sử dụng tiền mặt để thanh toán.,Yêu cầu người mua và người bán gặp mặt.,B,Là không gian ảo (Marketspace).,"E-marketplace là một không gian thị trường ảo (marketspace) nơi người bán và người mua gặp gỡ và giao dịch điện tử, không bị giới hạn bởi địa điểm vật lý."
2,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"Trong cấu trúc của một sàn giao dịch, ""Front-end"" (Giao diện người dùng) bao gồm thành phần nào?",Quản lý kho bãi phía sau.,Giỏ hàng và Catalog điện tử.,Hệ thống kế toán nội bộ.,Quy trình đóng gói và vận chuyển.,B,Giỏ hàng và Catalog điện tử.,"Front-end là nơi khách hàng tương tác, bao gồm cổng thông tin người bán, catalog điện tử, giỏ hàng, công cụ tìm kiếm."
3,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,Một sàn giao dịch do bên thứ ba trung gian sở hữu và mở cửa cho tất cả mọi người tham gia được gọi là gì?,Sàn giao dịch riêng (Private).,Sàn giao dịch công cộng (Public).,Sàn giao dịch nội bộ.,Sàn giao dịch một phía (One-side).,B,Sàn giao dịch công cộng (Public).,Các sàn giao dịch công cộng (Public e-marketplaces) thường được sở hữu bởi bên thứ ba và mở cửa cho công chúng.
4,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,Yếu tố nào sau đây là một sản phẩm kỹ thuật số (Digital Product) có thể được giao ngay lập tức trên sàn TMĐT?,Một chiếc ghế văn phòng.,Phần mềm diệt virus.,Thực phẩm tươi sống.,Quần áo thời trang.,B,Phần mềm diệt virus.,"Các sản phẩm số như phần mềm, nhạc, vé máy bay điện tử có thể được số hóa và giao ngay lập tức qua mạng."
5,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"Chức năng chính của một ""Sàn giao dịch B2B"" (B2B Exchange) là gì?",Bán lẻ cho người tiêu dùng.,Kết nối nhiều người mua và bán.,Giải trí và chơi game.,Đào tạo nhân sự nội bộ.,B,Kết nối nhiều người mua và bán.,"Các sàn giao dịch (Exchanges) là thị trường điện tử many-to-many, nơi nhiều người mua và nhiều người bán gặp nhau để giao dịch."
6,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"""Sell-side e-marketplace"" (Sàn phía bán) có đặc điểm giao dịch là:","Nhiều người bán, một người mua.","Một người bán, nhiều người mua.","Nhiều người bán, nhiều người mua.",Cá nhân bán cho cá nhân.,B,"Một người bán, nhiều người mua.","Trong thị trường sell-side, một công ty (người bán) bán sản phẩm cho nhiều người mua (One-to-many)."
7,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,Shopee hay Lazada là ví dụ điển hình của loại hình trung gian nào?,Nhà sản xuất trực tiếp.,Tổ chức e-mall (Chợ trực tuyến).,Cơ quan chính phủ.,Ngân hàng điện tử.,B,Tổ chức e-mall (Chợ trực tuyến).,"Đây là các công ty tổ chức nhiều cửa hàng trực tuyến tại một nơi (online malls), đóng vai trò là nhà môi giới."
8,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"Sự khác biệt giữa ""Sàn dọc"" (Vertical marketplace) và ""Sàn ngang"" (Horizontal marketplace) là gì?",Sàn dọc phục vụ một ngành cụ thể.,Sàn dọc bán tất cả các loại hàng hóa.,Sàn ngang chỉ bán dịch vụ tư vấn.,Sàn ngang chỉ dành cho chính phủ.,A,Sàn dọc phục vụ một ngành cụ thể.,"Sàn dọc (Vertical) tập trung vào một ngành công nghiệp cụ thể, trong khi sàn ngang (Horizontal) phục vụ sản phẩm/dịch vụ (như văn phòng phẩm) cho nhiều ngành khác nhau."
9,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"""Dynamic Pricing"" (Định giá động) trên các sàn giao dịch thường xuất hiện dưới hình thức nào?",Giá niêm yết cố định trong catalog.,Đấu giá hoặc đàm phán trực tuyến.,Giá in trên bao bì sản phẩm.,Giá do chính phủ quy định.,B,Đấu giá hoặc đàm phán trực tuyến.,"Định giá động đề cập đến giá không cố định (non-fixed prices), chẳng hạn như giá trong các cuộc đấu giá hoặc thị trường chứng khoán."
10,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"Lợi ích chính của việc sử dụng ""Sàn giao dịch riêng phía mua"" (Buy-side e-marketplace) đối với một tập đoàn lớn là gì?",Tăng giá mua đầu vào.,Kiểm soát chặt chẽ nguồn cung.,Mở rộng bán lẻ cho công chúng.,Giảm quyền lực đàm phán.,B,Kiểm soát chặt chẽ nguồn cung.,"Các công ty lớn (như Walmart) sử dụng sàn phía mua để mời các nhà cung cấp đấu thầu, giúp kiểm soát quy trình mua sắm và giảm chi phí."
11,Chương_1_Tiết 10 Tổng quan về Sàn Giao dịch,1,1,"Vai trò của ""Infomediaries"" (Trung gian thông tin) trên sàn giao dịch là gì?",Vận chuyển hàng hóa vật lý.,Cung cấp dữ liệu về thị trường.,Sản xuất hàng hóa để bán.,Cho vay vốn ngân hàng.,B,Cung cấp dữ liệu về thị trường.,"Infomediaries cung cấp thông tin và/hoặc cơ sở hạ tầng giúp người mua và người bán hiểu về thị trường, thay vì trực tiếp bán hàng."
