ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,Lợi ích cơ bản nhất mà các Sàn giao dịch TMĐT mang lại cho NGƯỜI MUA là gì?,Tăng giá sản phẩm.,Giảm chi phí tìm kiếm.,Tăng thời gian mua hàng.,Giới hạn nhà cung cấp.,B,Giảm chi phí tìm kiếm.,Sàn giao dịch giúp người mua giảm đáng kể chi phí và thời gian tìm kiếm thông tin về sản phẩm và nhà cung cấp nhờ tập trung dữ liệu tại một nơi.
2,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Phương thức giao dịch ""Catalog điện tử cố định"" (Fixed Pricing) thường được sử dụng phổ biến nhất trong mô hình nào?",C2C đấu giá.,B2C bán lẻ.,B2B đấu thầu.,Sàn chứng khoán.,B,B2C bán lẻ.,"Bán hàng từ catalog với giá cố định là phương thức phổ biến nhất trong B2C (như Amazon, Tiki), nơi giá cả được niêm yết sẵn và không thay đổi theo từng khách hàng."
3,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"""Dynamic Pricing"" (Định giá động) là đặc trưng cốt lõi của phương thức giao dịch nào?",Catalog điện tử.,Đấu giá (Auctions).,Bán lẻ tại quầy.,Siêu thị truyền thống.,B,Đấu giá (Auctions).,"Đấu giá dựa trên định giá động, nghĩa là giá không cố định mà thay đổi dựa trên cung cầu và sự trả giá của người tham gia."
4,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Hoạt động ""Bartering"" (Trao đổi) trên sàn giao dịch có nghĩa là gì?",Mua hàng trả góp.,Đổi hàng lấy hàng.,Dùng thẻ tín dụng.,Vay tiền ngân hàng.,B,Đổi hàng lấy hàng.,Bartering là việc trao đổi hàng hóa hoặc dịch vụ mà không sử dụng tiền mặt làm phương tiện thanh toán trực tiếp.
5,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Trong ""Đấu giá ngược"" (Reverse Auction) trên sàn B2B, mục tiêu chính của người mua là gì?",Tìm giá mua thấp nhất.,Tìm giá bán cao nhất.,Tăng chi phí mua sắm.,Kéo dài thời gian mua.,A,Tìm giá mua thấp nhất.,"Trong đấu giá ngược, người mua đưa ra nhu cầu và các nhà cung cấp cạnh tranh nhau để đưa ra mức giá thấp nhất nhằm giành được đơn hàng."
6,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,Một lợi ích lớn của Sàn giao dịch đối với NGƯỜI BÁN (Sellers) là gì?,Tăng chi phí in ấn catalog.,Tiếp cận khách hàng mới.,Giới hạn giờ bán hàng.,Giảm số lượng đơn hàng.,B,Tiếp cận khách hàng mới.,"Sàn giao dịch giúp người bán mở rộng kênh phân phối, tiếp cận được các khách hàng mới ngoài khu vực địa lý truyền thống với chi phí thấp."
7,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,Bước đầu tiên quan trọng nhất trong quy trình đăng ký gian hàng trên một sàn TMĐT uy tín thường là gì?,Đăng sản phẩm ngay.,Xác thực danh tính/giấy phép.,Chạy quảng cáo trả phí.,Gửi hàng vào kho sàn.,B,Xác thực danh tính/giấy phép.,"Để đảm bảo an toàn và tin cậy, các sàn TMĐT thường yêu cầu người bán đăng ký và xác thực thông tin doanh nghiệp hoặc cá nhân (Verification/Authentication) trước khi hoạt động."
8,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Tại sao phương thức ""Đàm phán trực tuyến"" (Online Negotiating) lại phù hợp cho các giao dịch B2B phức tạp hơn là Catalog cố định?",Vì nó nhanh hơn nhiều.,Vì nó xử lý được các điều khoản riêng biệt.,Vì nó không cần phần mềm.,Vì nó chỉ dành cho hàng rẻ tiền.,B,Vì nó xử lý được các điều khoản riêng biệt.,"Đàm phán cho phép thảo luận về các điều khoản phức tạp (thanh toán, vận chuyển, chất lượng, số lượng lớn) mà giá cố định trong catalog không thể hiện được."
9,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Một hạn chế của phương thức ""Trao đổi"" (Bartering) truyền thống mà các Sàn giao dịch điện tử giúp khắc phục là gì?",Không ai muốn trao đổi.,Khó tìm đối tác trùng khớp nhu cầu.,Hàng hóa luôn bị hỏng.,Thuế suất quá cao.,B,Khó tìm đối tác trùng khớp nhu cầu.,Sàn giao dịch bartering giúp giải quyết vấn đề khó khăn nhất của trao đổi truyền thống là tìm được đối tác có nhu cầu trùng khớp (matching trading partners) nhanh chóng hơn.
10,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"""Forward Auction"" (Đấu giá xuôi) thường được doanh nghiệp sử dụng trên sàn để làm gì?",Mua nguyên liệu thô.,Thanh lý hàng tồn kho/dư thừa.,Tuyển dụng nhân sự.,Thuê văn phòng mới.,B,Thanh lý hàng tồn kho/dư thừa.,"Đấu giá xuôi (người bán đưa ra, nhiều người mua trả giá) thường được dùng để thanh lý hàng tồn kho, hàng dư thừa hoặc máy móc cũ để thu hồi vốn nhanh."
11,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Lợi ích ""Paperless"" (Không giấy tờ) của sàn giao dịch đóng góp gì cho quy trình vận hành?",Tăng chi phí lưu trữ.,Giảm chi phí hành chính và sai sót.,Làm chậm quá trình xử lý.,Tăng nhu cầu nhân sự nhập liệu.,B,Giảm chi phí hành chính và sai sót.,"Tự động hóa và số hóa các quy trình trên sàn giao dịch giúp loại bỏ giấy tờ, từ đó giảm chi phí hành chính và giảm thiểu sai sót do nhập liệu thủ công."
12,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Khi đăng ký gian hàng trên Tmall Global (thuộc Alibaba), yêu cầu nào sau đây là bắt buộc đối với thương hiệu nước ngoài?",Phải có kho hàng tại Mỹ.,Phải chứng minh quyền sở hữu thương hiệu.,Chỉ được bán hàng cũ.,Không cần giấy phép kinh doanh.,B,Phải chứng minh quyền sở hữu thương hiệu.,"Để đảm bảo chất lượng, Tmall Global yêu cầu nhà bán hàng phải chứng minh họ sở hữu thương hiệu hoặc có quyền phân phối hợp pháp."
13,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Phương thức ""Group Purchasing"" (Mua chung) trên sàn giao dịch giúp các doanh nghiệp nhỏ (SMEs) đạt được điều gì?",Tăng giá mua đầu vào.,Chiết khấu số lượng (Quantity discounts).,Giảm chất lượng hàng hóa.,Mua hàng lẻ tẻ giá cao.,B,Chiết khấu số lượng (Quantity discounts).,"Bằng cách gom nhu cầu lại với nhau trên sàn (Aggregation), các doanh nghiệp nhỏ có thể đạt được lợi thế mua sắm số lượng lớn để nhận chiết khấu giá tốt."
14,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Tại sao các sàn giao dịch thường cung cấp dịch vụ ""Escrow"" (Ký quỹ) trong quy trình giao dịch?",Để tăng lợi nhuận cho sàn.,Để đảm bảo an toàn thanh toán cho hai bên.,Để trì hoãn việc giao hàng.,Để trốn thuế chính phủ.,B,Để đảm bảo an toàn thanh toán cho hai bên.,"Dịch vụ Escrow giữ tiền của người mua và chỉ chuyển cho người bán khi người mua đã nhận và chấp nhận hàng, giúp giải quyết vấn đề thiếu lòng tin."
15,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Trong bối cảnh Sàn giao dịch B2B, sự khác biệt chính giữa mô hình ""Spot Buying"" (Mua ngay) và ""Strategic Sourcing"" (Tìm nguồn chiến lược) là gì?",Spot Buying dùng cho hợp đồng dài hạn.,Spot Buying dùng cho nhu cầu đột xuất theo giá thị trường.,Strategic Sourcing luôn có giá cao hơn.,Cả hai đều không dùng Catalog.,B,Spot Buying dùng cho nhu cầu đột xuất theo giá thị trường.,"Spot buying (mua ngay) là mua hàng hóa khi cần thiết đột xuất với giá thị trường tại thời điểm đó (thường qua sàn/đấu giá), khác với mua chiến lược theo hợp đồng dài hạn."
16,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Một rủi ro tiềm ẩn của phương thức ""Đấu giá ngược"" (Reverse Auction) đối với mối quan hệ nhà cung cấp là gì?",Tăng sự trung thành của nhà cung cấp.,Làm xói mòn lòng tin và chỉ tập trung vào giá.,Nhà cung cấp có lãi suất cao hơn.,Giảm cạnh tranh giữa các nhà cung cấp.,B,Làm xói mòn lòng tin và chỉ tập trung vào giá.,"Đấu giá ngược ép giá nhà cung cấp xuống mức thấp nhất, có thể làm tổn hại đến mối quan hệ đối tác lâu dài và khiến nhà cung cấp chỉ chú trọng cắt giảm chất lượng để có giá rẻ."
17,Chương_1_Tiết 11 Lợi ích và Phương thức giao dịch,1,1,"Tại sao ""Khối lượng tới hạn"" (Critical Mass) lại là yếu tố sống còn đối với sự thành công của một Sàn giao dịch công cộng?",Để làm chậm tốc độ website.,Để tạo thanh khoản và hiệu ứng mạng.,Để giảm chi phí phần mềm.,Để hạn chế số người tham gia.,B,Để tạo thanh khoản và hiệu ứng mạng.,"Sàn giao dịch cần đủ số lượng người mua và người bán (thanh khoản) để tạo ra giá trị; nếu không có thanh khoản (liquidity), sàn sẽ thất bại."
