ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Theo nghĩa hẹp, thương mại điện tử (E-commerce) chủ yếu tập trung vào hoạt động nào?",Đào tạo nhân sự nội bộ.,Mua bán qua mạng.,Quản lý tài nguyên doanh nghiệp (ERP).,Thiết kế sản phẩm mới.,B,Mua bán qua mạng.,"TMĐT (EC) theo nghĩa hẹp tập trung vào việc mua, bán, chuyển giao hoặc trao đổi sản phẩm/dịch vụ qua mạng máy tính và Internet."
2,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Thuật ngữ ""E-business"" (Kinh doanh điện tử) khác với ""E-commerce"" (Thương mại điện tử) ở điểm nào?",E-business hẹp hơn E-commerce.,E-business chỉ dùng cho B2B.,E-business có phạm vi rộng hơn.,Cả hai thuật ngữ là đồng nghĩa.,C,E-business có phạm vi rộng hơn.,"E-business có định nghĩa rộng hơn, bao gồm không chỉ mua bán mà còn phục vụ khách hàng, cộng tác với đối tác và các giao dịch điện tử nội bộ."
3,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,Một tổ chức chỉ bán hàng trực tuyến và không có cửa hàng vật lý được gọi là gì?,Brick-and-mortar.,Click-and-mortar.,Virtual (Pure-play).,Traditional retailer.,C,Virtual (Pure-play).,Các công ty chỉ tham gia vào TMĐT (chỉ bán hàng trực tuyến) được coi là các tổ chức ảo (virtual) hoặc pure-play.
4,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Đặc điểm ""Ubiquity"" (Tính phổ quát) của thương mại điện tử có nghĩa là gì?",Chỉ bán hàng tại cửa hàng vật lý.,"Có mặt mọi nơi, mọi lúc.",Chỉ bán hàng trong giờ hành chính.,Giới hạn trong biên giới quốc gia.,B,"Có mặt mọi nơi, mọi lúc.","Tính phổ quát (Ubiquity) cho phép mua sắm mọi lúc, mọi nơi, vượt qua giới hạn về thời gian và địa lý, giải phóng thị trường khỏi vị trí vật lý."
5,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Ba chiều được sử dụng để phân loại TMĐT trong ma trận 3D là: Sản phẩm, Quy trình và...?",Lợi nhuận.,Tác nhân giao hàng.,Công nghệ thanh toán.,Nền tảng tiếp thị.,B,Tác nhân giao hàng.,"Ba chiều của TMĐT để xác định mức độ số hóa là: Sản phẩm (Product), Quy trình (Process) và Tác nhân giao hàng (Delivery Agent)."
6,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"""Brick-and-mortar"" dùng để chỉ loại hình doanh nghiệp nào?",Doanh nghiệp thuần túy số.,Sàn giao dịch ảo.,Doanh nghiệp thuần vật lý.,Doanh nghiệp kết hợp.,C,Doanh nghiệp thuần vật lý.,"Các tổ chức thuần túy vật lý được gọi là tổ chức ""brick-and-mortar"" (gạch và vữa)."
7,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,Loại hình TMĐT nào chiếm khối lượng giao dịch lớn nhất (khoảng 85%) trên toàn cầu?,B2C.,C2C.,B2B.,G2C.,C,B2B.,B2B (Doanh nghiệp với Doanh nghiệp) chiếm khoảng 85% tổng khối lượng giao dịch TMĐT.
8,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,Mua một cuốn sách in (vật lý) từ Amazon được phân loại là hình thức TMĐT nào?,Pure EC (Thuần túy).,Partial EC (Bán phần).,Traditional Commerce.,Non-business EC.,B,Partial EC (Bán phần).,"Nếu có ít nhất một chiều là vật lý (ở đây là sản phẩm vật lý và giao hàng vật lý), thì đó là TMĐT bán phần (Partial EC)."
9,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,Hoạt động nào sau đây thuộc E-business nhưng KHÔNG nhất thiết là E-commerce?,Bán hàng trên Shopee.,Đào tạo nhân viên qua mạng nội bộ.,Đấu giá trên eBay.,Đặt phòng trên Agoda.,B,Đào tạo nhân viên qua mạng nội bộ.,Đào tạo trực tuyến và các giao dịch nội bộ thuộc E-business nhưng không phải là hoạt động mua bán thương mại (E-commerce) theo nghĩa hẹp.
10,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"""Global Reach"" (Tầm với toàn cầu) trong TMĐT mang lại lợi thế gì so với thương mại truyền thống?",Tăng chi phí tiếp thị.,Giới hạn khách hàng địa phương.,Tiếp cận qua biên giới chi phí thấp.,Yêu cầu cửa hàng vật lý ở mọi nơi.,C,Tiếp cận qua biên giới chi phí thấp.,"Tính toàn cầu cho phép doanh nghiệp tiếp cận khách hàng trên toàn thế giới với chi phí hợp lý, vượt qua ranh giới địa lý."
11,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Mô hình ""Click-and-mortar"" là sự kết hợp của:",Webstore và Sàn giao dịch.,Online và Offline.,Bán buôn và Bán lẻ.,Sản xuất và Phân phối.,B,Online và Offline.,Click-and-mortar là các tổ chức thực hiện hoạt động TMĐT (online) kết hợp với hoạt động vật lý truyền thống (offline).
12,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Đặc tính ""Interactivity"" (Tính tương tác) của TMĐT cho phép điều gì khác biệt so với TV truyền thống?",Giao tiếp hai chiều.,Phát sóng một chiều.,Quảng cáo thụ động.,Hình ảnh độ nét cao.,A,Giao tiếp hai chiều.,"Tính tương tác cho phép giao tiếp hai chiều (two-way communication) giữa thương nhân và người tiêu dùng, khác với cơ chế một chiều của truyền thông truyền thống như TV."
13,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Một sản phẩm phần mềm được mua, thanh toán và tải xuống hoàn toàn qua Internet là ví dụ của:",Partial EC.,Pure EC.,Brick-and-mortar.,Traditional Commerce.,B,Pure EC.,"Khi cả sản phẩm, quy trình và giao hàng đều là kỹ thuật số, đó là TMĐT thuần túy (Pure EC)."
14,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,"Internet giúp giảm sự bất cân xứng thông tin (Information Asymmetry), dẫn đến điều gì?",Giá cả minh bạch hơn.,Giá cả tăng cao hơn.,Khó so sánh giá hơn.,Người bán độc quyền giá.,A,Giá cả minh bạch hơn.,"Internet làm tăng sự phong phú và khả năng tiếp cận thông tin, giúp giá cả minh bạch hơn và giảm sự bất cân xứng thông tin giữa người mua và người bán."
15,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,Tại sao các doanh nghiệp truyền thống (như Walmart) chuyển đổi sang mô hình Click-and-mortar?,Để đóng cửa hết kho bãi.,Để tận dụng lợi thế đa kênh.,Để tăng chi phí nhân sự.,Để loại bỏ hoàn toàn webstore.,B,Để tận dụng lợi thế đa kênh.,"Các công ty truyền thống chuyển sang Click-and-mortar để tận dụng lợi thế của cả hai môi trường (online và offline), tạo ra mô hình đa kênh (multichannel/omnichannel)."
16,Chương_1_Tiết 1_Khái niệm và Tiếp cận,1,1,Yếu tố nào sau đây là rào cản phi kỹ thuật (non-technical limitation) lớn nhất của TMĐT?,Tốc độ đường truyền.,Thiếu lòng tin (Trust).,Phần mềm chưa hoàn thiện.,Thiếu thiết bị phần cứng.,B,Thiếu lòng tin (Trust).,"Thiếu lòng tin vào người bán và các giao dịch ""không mặt đối mặt"" là một hạn chế phi kỹ thuật chính."
