ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Loại hình giao dịch TMĐT nào chiếm tỷ trọng lớn nhất (khoảng 85%) về khối lượng giao dịch?,Business-to-Consumer (B2C).,Consumer-to-Consumer (C2C).,Business-to-Business (B2B).,Government-to-Citizen (G2C).,C,Business-to-Business (B2B).,B2B (Doanh nghiệp với Doanh nghiệp) chiếm khoảng 85% tổng khối lượng giao dịch TMĐT.
2,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Hoạt động bán hàng giữa các cá nhân trên eBay hoặc Chợ Tốt thuộc mô hình nào?,B2C.,C2B.,C2C.,B2B.,C,C2C.,"Trong mô hình C2C (Consumer-to-Consumer), các cá nhân bán hoặc mua sản phẩm trực tiếp với nhau, thường thông qua một nền tảng trung gian."
3,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Mô hình B2E (Business-to-Employee) đề cập đến giao dịch giữa ai với ai?,Doanh nghiệp và Khách hàng.,Chính phủ và Doanh nghiệp.,Doanh nghiệp và Nhân viên.,Doanh nghiệp và Đối tác.,C,Doanh nghiệp và Nhân viên.,"B2E đề cập đến việc tổ chức cung cấp thông tin, dịch vụ hoặc sản phẩm cho nhân viên của mình."
4,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Lợi ích nào sau đây của TMĐT tác động tích cực đến XÃ HỘI?,Tăng lợi nhuận công ty.,Giảm ô nhiễm môi trường.,Mua hàng giá rẻ hơn.,Tăng doanh số bán lẻ.,B,Giảm ô nhiễm môi trường.,"TMĐT cho phép làm việc tại nhà (telecommuting) và giảm đi lại, giúp giảm lưu lượng giao thông và ô nhiễm không khí."
5,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Priceline.com cho phép khách hàng tự đặt mức giá họ muốn trả cho dịch vụ. Đây là mô hình gì?,B2C.,C2B.,G2C.,B2B.,B,C2B.,"Trong mô hình C2B, cá nhân sử dụng Internet để đưa ra mức giá (đấu giá ngược) mà họ chấp nhận trả cho doanh nghiệp."
6,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Một hạn chế về mặt KỸ THUẬT (Technological limitation) của TMĐT là gì?,Thiếu lòng tin khách hàng.,Luật pháp chưa rõ ràng.,Khó tích hợp hệ thống cũ.,Khách quen mua trực tiếp.,C,Khó tích hợp hệ thống cũ.,Khó khăn khi tích hợp phần mềm Internet/TMĐT với các ứng dụng và cơ sở dữ liệu hiện có (legacy systems) là một hạn chế kỹ thuật.
7,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Intrabusiness EC đề cập đến các hoạt động thương mại điện tử diễn ra ở đâu?,Giữa các quốc gia.,Trong nội bộ tổ chức.,Giữa hai công ty.,Trên sàn chứng khoán.,B,Trong nội bộ tổ chức.,Intrabusiness EC đề cập đến các giao dịch TMĐT giữa các bộ phận và cá nhân khác nhau trong cùng một tổ chức.
8,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"Lợi ích ""Mass Customization"" (Cá nhân hóa đại trà) giúp doanh nghiệp điều gì?",Bán hàng tồn kho giá rẻ.,Sản xuất theo sở thích khách.,Chỉ bán sản phẩm kỹ thuật số.,Loại bỏ hoàn toàn nhân viên.,B,Sản xuất theo sở thích khách.,Mass customization cho phép doanh nghiệp cấu hình sản phẩm theo sở thích riêng của từng khách hàng với chi phí thấp.
9,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"""Khoảng cách số"" (Digital Divide) là vấn đề xã hội liên quan đến sự chênh lệch về:",Thu nhập cá nhân.,Tiếp cận công nghệ.,Khoảng cách địa lý.,Trình độ ngoại ngữ.,B,Tiếp cận công nghệ.,Digital divide là khoảng cách giữa những người có khả năng truy cập Internet/công nghệ thông tin và những người không có.
10,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"Tại sao ""An ninh"" (Security) vừa là vấn đề kỹ thuật vừa là vấn đề phi kỹ thuật?",Vì nó tốn kém chi phí.,Vì nó liên quan cả tâm lý.,Vì hacker rất giỏi.,Vì phần mềm quá đắt.,B,Vì nó liên quan cả tâm lý.,"Bảo mật cần giải pháp công nghệ (kỹ thuật), nhưng sự lo ngại và thiếu lòng tin của khách hàng (phi kỹ thuật) cũng là rào cản lớn."
11,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,E-procurement (Mua sắm điện tử) mang lại lợi ích gì chính cho người mua (Doanh nghiệp)?,Tăng giá sản phẩm.,Tăng hàng tồn kho.,Giảm chi phí mua sắm.,Kéo dài thời gian mua.,C,Giảm chi phí mua sắm.,E-procurement giúp doanh nghiệp mua sắm hiệu quả hơn bằng cách giảm chi phí xử lý và giá thành sản phẩm.
12,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Chính phủ đấu thầu điện tử (e-tendering) để mua trang thiết bị từ công ty thuộc mô hình nào?,G2C.,G2B.,B2C.,C2G.,B,G2B.,"G2B là giao dịch giữa chính phủ và doanh nghiệp, ví dụ như chính phủ mua hàng hóa, dịch vụ từ doanh nghiệp."
13,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"Rào cản nào khiến khách hàng ngần ngại giao dịch ""không mặt đối mặt""?",Tốc độ mạng chậm.,Thiếu lòng tin.,Không có thẻ tín dụng.,Chi phí vận chuyển.,B,Thiếu lòng tin.,Thiếu lòng tin (Lack of trust) vào người bán và các giao dịch ẩn danh là một hạn chế phi kỹ thuật chính.
14,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"Lợi ích ""The Long Tail"" cho phép doanh nghiệp kinh doanh hiệu quả loại sản phẩm nào?",Sản phẩm bán chạy nhất.,"Sản phẩm ngách, ít phổ biến.",Sản phẩm giá rất rẻ.,Sản phẩm thiết yếu hàng ngày.,B,"Sản phẩm ngách, ít phổ biến.","TMĐT cho phép tiếp cận ""cái đuôi dài"" (Long Tail), nơi các sản phẩm ngách vẫn có thể tìm thấy người mua nhờ không bị giới hạn kệ hàng."
15,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"Trong mô hình ""Drop-shipping"", người bán (retailer) KHÔNG cần làm gì?",Tìm kiếm khách hàng.,Xử lý thanh toán.,Giữ hàng tồn kho.,Chăm sóc khách hàng.,C,Giữ hàng tồn kho.,"Trong Drop-shipping, người bán chuyển đơn hàng cho nhà cung cấp để giao trực tiếp, do đó không cần giữ hàng tồn kho."
16,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Một rào cản pháp lý phức tạp đối với TMĐT quốc tế là vấn đề gì?,Ngôn ngữ website.,Chi phí vận chuyển.,Thuế và quyền tài phán.,Phương thức thanh toán.,C,Thuế và quyền tài phán.,"Các vấn đề pháp lý chưa rõ ràng, đặc biệt là quy định về thuế và quyền tài phán trong các giao dịch xuyên biên giới là hạn chế lớn."
17,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Uber và Airbnb tác động đến thị trường truyền thống thông qua mô hình kinh tế nào?,Kinh tế bao cấp.,Kinh tế chia sẻ.,Kinh tế tập trung.,Kinh tế độc quyền.,B,Kinh tế chia sẻ.,"Uber và Airbnb thuộc mô hình Kinh tế chia sẻ (Sharing Economy), gây gián đoạn (disrupt) các ngành công nghiệp truyền thống."
18,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,Lợi ích chi phí thấp của Internet so với mạng VAN (Value-Added Network) đến từ đâu?,"Internet là mạng mở, công cộng.",Internet ít người sử dụng hơn.,Internet bảo mật kém hơn.,Internet không cần máy tính.,A,"Internet là mạng mở, công cộng.","Internet rẻ hơn các mạng riêng (VAN) vì nó là mạng công cộng sử dụng các giao thức chuẩn toàn cầu, giúp giảm chi phí truyền tải."
19,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"""Critical Mass"" (Khối lượng tới hạn) là thách thức gì đối với các sàn TMĐT mới?",Hệ thống quá tải.,Thiếu người tham gia.,Chi phí đầu tư thấp.,Quá nhiều người bán.,B,Thiếu người tham gia.,Cần có đủ số lượng người mua và người bán (Critical Mass) để hệ thống có giá trị; thiếu điều này là một hạn chế lớn.
20,"Chương_1_Tiết 2 Phân loại, Lợi ích và Hạn chế",1,1,"Khi chuyển từ Brick-and-Mortar sang Click-and-Mortar, rào cản nhân sự lớn nhất là gì?",Thiếu máy tính.,Kháng cự thay đổi.,Lương nhân viên thấp.,Không biết tiếng Anh.,B,Kháng cự thay đổi.,Sự kháng cự thay đổi
