ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Hình thức sơ khai của thương mại điện tử xuất hiện vào thập niên 1970 là gì?,Sàn giao dịch B2B.,Chuyển tiền điện tử (EFT).,Mạng xã hội.,Website bán lẻ trực tuyến.,B,Chuyển tiền điện tử (EFT).,Ứng dụng tiên phong của TMĐT là chuyển tiền điện tử (EFT - Electronic Funds Transfer) giữa các tổ chức tài chính vào đầu những năm 1970.
2,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Thuật ngữ ""Disintermediation"" (Phi trung gian hóa) trong TMĐT mô tả hiện tượng nào?",Thêm nhiều đại lý vào kênh phân phối.,Loại bỏ các trung gian.,Tăng chi phí hoa hồng cho môi giới.,Hợp tác chặt chẽ với các nhà bán buôn.,B,Loại bỏ các trung gian.,"Disintermediation đề cập đến việc loại bỏ các tổ chức trung gian (như nhà bán buôn, bán lẻ) để nhà sản xuất bán trực tiếp cho người tiêu dùng."
3,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Sự kiện ""bong bóng dot-com"" (dot-com burst) xảy ra vào khoảng thời gian nào?",Đầu những năm 1990.,Cuối những năm 2010.,Năm 2000 - 2001.,Sau khi iPhone ra đời.,C,Năm 2000 - 2001.,"Bắt đầu từ năm 1999 và vỡ vào năm 2000-2001, nhiều công ty TMĐT (dot-com) đã thất bại do mô hình kinh doanh không bền vững."
4,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Yếu tố nào sau đây được coi là ""huyết mạch"" quyết định sự thành công trong khâu vận hành của Amazon?",Cửa hàng mặt tiền đẹp.,Hệ thống hoàn tất đơn hàng (Fulfillment).,Số lượng nhân viên bán hàng tại quầy.,Chi phí quảng cáo trên báo giấy.,B,Hệ thống hoàn tất đơn hàng (Fulfillment).,Amazon đã đầu tư hàng tỷ đô la vào các trung tâm phân phối và kho bãi (Fulfillment centers) để đảm bảo giao hàng nhanh và hiệu quả.
5,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Khái niệm ""Reintermediation"" (Tái trung gian hóa) ám chỉ sự xuất hiện của ai?",Các trung gian kỹ thuật số mới.,Các cửa hàng tạp hóa truyền thống.,Các nhà máy sản xuất thủ công.,Các nhân viên thu ngân tại quầy.,A,Các trung gian kỹ thuật số mới.,"Reintermediation xảy ra khi các trung gian mới (như các trang so sánh giá, cổng thông tin) xuất hiện để hỗ trợ người mua và người bán trong môi trường số."
6,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Mô hình ""Kinh tế chia sẻ"" (Sharing Economy) như Airbnb đã gây ảnh hưởng lớn nhất đến ngành nào?",Ngành sản xuất ô tô.,Ngành khách sạn và lưu trú.,Ngành giáo dục trực tuyến.,Ngành y tế và chăm sóc sức khỏe.,B,Ngành khách sạn và lưu trú.,"Airbnb cho phép chia sẻ chỗ ở, gây áp lực cạnh tranh và làm thay đổi cấu trúc của ngành công nghiệp khách sạn truyền thống."
7,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Một trong những lý do chính khiến nhiều công ty dot-com thất bại trong giai đoạn đầu là gì?,Thiếu khách hàng tiềm năng.,Mô hình kinh doanh không tạo ra lợi nhuận.,Công nghệ Internet quá hiện đại.,Chi phí vận chuyển quá thấp.,B,Mô hình kinh doanh không tạo ra lợi nhuận.,Nhiều công ty dot-com thất bại vì họ tập trung vào tăng trưởng lượng truy cập mà thiếu một mô hình kinh doanh tạo ra lợi nhuận bền vững và quản lý tài chính kém.
8,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"""Xung đột kênh"" (Channel Conflict) thường xảy ra khi nào trong quá trình phát triển TMĐT?",Khi doanh nghiệp chỉ bán hàng offline.,Khi bán online ảnh hưởng xấu đến kênh offline.,Khi doanh nghiệp không có website.,Khi nhân viên bán hàng được tăng lương.,B,Khi bán online ảnh hưởng xấu đến kênh offline.,"Xung đột kênh xảy ra khi việc bán hàng trực tiếp qua mạng của nhà sản xuất cạnh tranh và gây thiệt hại cho các đối tác phân phối truyền thống (đại lý, nhà bán lẻ)."
9,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,"Chiến lược ""Omnichannel"" (Đa kênh hợp nhất) giúp doanh nghiệp giải quyết vấn đề gì?",Loại bỏ hoàn toàn website bán hàng.,Tách biệt hoàn toàn online và offline.,Trải nghiệm thiếu nhất quán giữa các kênh.,Giảm số lượng nhân viên giao hàng.,C,Trải nghiệm thiếu nhất quán giữa các kênh.,"Omnichannel tích hợp các kênh (cửa hàng, web, mobile) để cung cấp trải nghiệm mua sắm liền mạch, nhất quán cho khách hàng, giải quyết sự rời rạc của mô hình đa kênh cũ."
10,Chương_1_Tiết 3 Sự phát triển và Đánh giá,1,1,Tại sao Amazon lại mua lại công ty Kiva Systems (robot kho vận)?,Để bán robot cho người tiêu dùng.,Để tự động hóa và tăng tốc quy trình kho bãi.,Để thay thế hoàn toàn nhân viên văn phòng.,Để sản xuất xe tự lái.,B,Để tự động hóa và tăng tốc quy trình kho bãi.,"Amazon sử dụng robot của Kiva (nay là Amazon Robotics) trong các trung tâm fulfillment để di chuyển hàng hóa, giúp tăng hiệu quả và tốc độ xử lý đơn hàng."
