ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Vai trò chính của một ""Cổng thanh toán"" (Payment Gateway) trong thương mại điện tử là gì?",Cung cấp dịch vụ vận chuyển hàng hóa.,Trung gian xử lý giao dịch điện tử.,Phát hành thẻ tín dụng cho người mua.,Quản lý kho hàng cho người bán.,B,Trung gian xử lý giao dịch điện tử.,Cổng thanh toán (Payment Gateway/PSP) là bên thứ ba cung cấp kết nối điện tử và dịch vụ xử lý giao dịch giữa các bên tham gia thanh toán.
2,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Giao thức bảo mật nào thường được nhận biết qua biểu tượng ""ổ khóa"" và tiền tố ""https://"" trên trình duyệt?",FTP.,SSL/TLS.,TCP/IP.,SMTP.,B,SSL/TLS.,"SSL (Secure Sockets Layer) và phiên bản kế nhiệm TLS được sử dụng để mã hóa dữ liệu truyền tải, biểu thị bằng https:// và biểu tượng ổ khóa."
3,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Đặc điểm chính của ""Ví điện tử"" (Digital Wallet) như Apple Pay hay Google Pay là gì?",Chỉ dùng được khi có kết nối dây cáp.,Lưu trữ thông tin thanh toán kỹ thuật số.,In tiền giấy trực tiếp từ điện thoại.,Thay thế hoàn toàn tài khoản ngân hàng.,B,Lưu trữ thông tin thanh toán kỹ thuật số.,Ví điện tử di động lưu trữ thông tin thẻ tín dụng/ghi nợ và cho phép thực hiện thanh toán qua thiết bị di động.
4,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Mã độc ""Phishing"" (Tấn công giả mạo) chủ yếu nhằm mục đích gì?",Làm hỏng phần cứng máy tính.,Lừa người dùng tiết lộ thông tin mật.,Tăng tốc độ truy cập Internet.,Tạo ra các quảng cáo hợp pháp.,B,Lừa người dùng tiết lộ thông tin mật.,Phishing là hành vi giả mạo một thực thể đáng tin cậy để lừa người dùng tiết lộ thông tin nhạy cảm như mật khẩu hoặc số thẻ tín dụng.
5,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,Công nghệ NFC (Near Field Communication) thường được ứng dụng trong loại hình thanh toán nào?,Thanh toán bằng séc giấy.,Thanh toán không tiếp xúc.,Chuyển khoản qua ngân hàng.,Thanh toán khi nhận hàng (COD).,B,Thanh toán không tiếp xúc.,NFC cho phép thanh toán không tiếp xúc (proximity payments) bằng cách vẫy thiết bị di động hoặc thẻ gần đầu đọc.
6,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Trong bảo mật thông tin, ""Firewall"" (Tường lửa) có chức năng chính là gì?",Diệt virus trên ổ cứng.,Ngăn chặn truy cập mạng trái phép.,Tăng dung lượng lưu trữ dữ liệu.,Khôi phục mật khẩu bị mất.,B,Ngăn chặn truy cập mạng trái phép.,Tường lửa là rào cản phần cứng hoặc phần mềm được thiết kế để ngăn chặn truy cập trái phép vào hoặc ra khỏi mạng riêng.
7,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,Loại thẻ nào yêu cầu người dùng phải nạp tiền trước vào tài khoản thẻ để sử dụng?,Thẻ tín dụng (Credit Card).,Thẻ lưu trữ giá trị (Stored-value Card).,Thẻ ghi nợ (Debit Card).,Thẻ hậu mãi (Charge Card).,B,Thẻ lưu trữ giá trị (Stored-value Card).,"Thẻ lưu trữ giá trị (như thẻ quà tặng, thẻ xe buýt) là loại thẻ mà giá trị tiền tệ được nạp trước (prepaid) vào thẻ."
8,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Trong quy trình xử lý thẻ, bước ""Authorization"" (Ủy quyền) thực hiện nhiệm vụ gì?",Chuyển tiền vào tài khoản người bán.,Xác minh thẻ hợp lệ và đủ hạn mức.,In hóa đơn giấy cho khách hàng.,Gửi hàng hóa cho đơn vị vận chuyển.,B,Xác minh thẻ hợp lệ và đủ hạn mức.,Authorization xác định xem thẻ của người mua có hợp lệ không và có đủ tiền/tín dụng để thanh toán hay không.
9,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Tại sao ""Micropayments"" (Thanh toán giá trị nhỏ) thường khó thực hiện qua thẻ tín dụng truyền thống?",Do tốc độ mạng Internet quá chậm.,Do phí giao dịch cao so với giá trị món hàng.,Do thẻ tín dụng không hỗ trợ số lẻ.,Do khách hàng không thích dùng thẻ.,B,Do phí giao dịch cao so với giá trị món hàng.,"Đối với các nhà cung cấp, thẻ tín dụng quá đắt đỏ để xử lý các khoản thanh toán nhỏ (dưới 10$) do phí giao dịch cố định."
10,Chương_1_Tiết 5 Hạ tầng Thanh toán và An toàn thông tin,1,1,"Theo mô hình CIA trong an toàn thông tin, ""Integrity"" (Tính toàn vẹn) đảm bảo điều gì?",Dữ liệu luôn có sẵn khi cần.,Dữ liệu không bị thay đổi trái phép.,Dữ liệu được mã hóa hoàn toàn.,Dữ liệu thuộc về người sở hữu.,B,Dữ liệu không bị thay đổi trái phép.,"Tính toàn vẹn (Integrity) đảm bảo rằng dữ liệu chính xác và không bị thay đổi, xóa hoặc tạo mới trái phép trong quá trình truyền tải."
