ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Thuật ngữ ""E-tailer"" trong mô hình B2C chủ yếu đề cập đến đối tượng nào?",Người cung cấp nội dung số.,Nhà bán lẻ trực tuyến.,Cổng thông tin điện tử.,Nhà cung cấp dịch vụ mạng.,B,Nhà bán lẻ trực tuyến.,"E-tailing (bán lẻ điện tử) là việc bán lẻ được thực hiện qua Internet, và những người bán này được gọi là e-tailers."
2,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,Wall Street Journal Online (wsj.com) hay Netflix là ví dụ điển hình của mô hình B2C nào?,Portal (Cổng thông tin).,Content Provider (Nhà cung cấp nội dung).,Transaction Broker (Môi giới giao dịch).,Market Creator (Nhà tạo thị trường).,B,Content Provider (Nhà cung cấp nội dung).,"Content Provider phân phối nội dung thông tin, giải trí (tin tức, video) qua mạng, thường thu phí đăng ký hoặc quảng cáo."
3,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Trong mô hình B2B, giao dịch ""Sell-side"" (Bên bán) có đặc điểm gì?","Một người mua, nhiều người bán.","Một người bán, nhiều người mua.","Nhiều người mua, nhiều người bán.",Cá nhân bán cho doanh nghiệp.,B,"Một người bán, nhiều người mua.","Trong thị trường sell-side, một doanh nghiệp (người bán) bán sản phẩm/dịch vụ cho nhiều tổ chức mua hàng khác."
4,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Mô hình doanh thu chính của hầu hết các ""Portal"" (Cổng thông tin) như Yahoo hay MSN là gì?",Phí giao dịch.,Phí quảng cáo.,Phí bán hàng trực tiếp.,Phí đăng ký thành viên VIP.,B,Phí quảng cáo.,Các cổng thông tin (Portals) thu hút lượng truy cập lớn và kiếm tiền chủ yếu thông qua phí quảng cáo và phí giao dịch từ các liên kết.
5,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,Expedia và các trang đặt vé máy bay/khách sạn trực tuyến thuộc mô hình B2C nào?,Content Provider.,Transaction Broker (Môi giới giao dịch).,Community Provider.,Portal.,B,Transaction Broker (Môi giới giao dịch).,"Transaction Broker (như Expedia) xử lý các giao dịch cho người tiêu dùng (thường là dịch vụ tài chính, du lịch) để nhận phí hoa hồng."
6,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"""E-procurement"" (Mua sắm điện tử) là hoạt động chủ đạo của loại hình thị trường B2B nào?",Sell-side marketplace.,Buy-side marketplace.,Exchange.,Collaborative commerce.,B,Buy-side marketplace.,"E-procurement là phương pháp mua sắm tại các thị trường buy-side (bên mua), nơi một người mua tìm kiếm hàng hóa từ nhiều nhà cung cấp."
7,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Khác biệt cơ bản về ""đối tượng khách hàng"" giữa B2C và B2B là gì?","B2C bán cho tổ chức, B2B bán cho cá nhân.","B2C bán cho cá nhân, B2B bán cho tổ chức.",Cả hai đều bán cho chính phủ.,Cả hai đều bán cho người tiêu dùng cuối cùng.,B,"B2C bán cho cá nhân, B2B bán cho tổ chức.","B2C là giao dịch giữa doanh nghiệp và người tiêu dùng cá nhân, trong khi B2B là giao dịch giữa các tổ chức/doanh nghiệp với nhau."
8,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Sự khác biệt giữa ""Vertical Marketplace"" và ""Horizontal Marketplace"" trong B2B là gì?",Vertical phục vụ một ngành cụ thể; Horizontal phục vụ nhiều ngành.,Vertical phục vụ nhiều ngành; Horizontal phục vụ một ngành.,Vertical chỉ bán dịch vụ; Horizontal chỉ bán hàng hóa.,Vertical dành cho B2C; Horizontal dành cho B2B.,A,Vertical phục vụ một ngành cụ thể; Horizontal phục vụ nhiều ngành.,"Vertical marketplaces chuyên về một ngành (dọc) cụ thể (ví dụ: hóa chất, thép), trong khi Horizontal marketplaces cung cấp dịch vụ/sản phẩm (ngang) cho nhiều ngành khác nhau (ví dụ: văn phòng phẩm)."
9,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,Tại sao quy trình ra quyết định mua hàng trong B2B phức tạp hơn B2C?,Vì giá sản phẩm rẻ hơn.,Vì liên quan đến nhiều người duyệt (DMU) và quy trình lý trí.,Vì B2B không sử dụng Internet.,Vì người mua B2B mua theo cảm xúc.,B,Vì liên quan đến nhiều người duyệt (DMU) và quy trình lý trí.,"Trong B2B, quyết định mua hàng liên quan đến nhiều người (đơn vị ra quyết định), dựa trên lý trí và giá trị hợp đồng lớn, khác với B2C thường là cá nhân và có thể dựa trên cảm xúc."
10,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,Sàn giao dịch (Exchange) trong mô hình B2B có đặc điểm kết nối như thế nào?,Một người bán - Nhiều người mua.,Nhiều người bán - Nhiều người mua.,Một người mua - Nhiều người bán.,Doanh nghiệp - Chính phủ.,B,Nhiều người bán - Nhiều người mua.,"Exchanges là các thị trường điện tử công cộng many-to-many, nơi nhiều người mua và nhiều người bán gặp nhau để giao dịch."
11,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Trong mô hình ""Đấu giá ngược"" (Reverse Auction) thường dùng ở B2B Buy-side, giá cả biến động như thế nào?",Giá tăng lên khi người mua cạnh tranh.,Giá giảm xuống khi người bán cạnh tranh.,Giá được cố định bởi chính phủ.,Giá không thay đổi.,B,Giá giảm xuống khi người bán cạnh tranh.,"Trong đấu giá ngược, người mua đăng nhu cầu (RFQ) và các nhà cung cấp (người bán) đấu thầu để giành đơn hàng, khiến giá có xu hướng giảm xuống."
12,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Doanh nghiệp ""Click-and-mortar"" (như Walmart) có lợi thế gì so với ""Pure-play"" (như Amazon thời đầu) trong quy trình mua hàng?",Chi phí vận hành thấp hơn.,Khách có thể nhận/trả hàng tại cửa hàng vật lý.,Không cần quản lý nhân viên.,Danh mục sản phẩm ít hơn.,B,Khách có thể nhận/trả hàng tại cửa hàng vật lý.,"Mô hình Click-and-mortar cho phép khách hàng mua online và nhận hàng hoặc đổi trả tại cửa hàng vật lý (omnichannel), tạo sự thuận tiện."
13,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Mô hình kinh doanh ""Drop-shipping"" trong B2C giúp người bán (E-tailer) giảm rủi ro gì lớn nhất?",Rủi ro thanh toán thẻ.,Rủi ro tồn kho và chi phí lưu kho.,Rủi ro về marketing.,Rủi ro mất dữ liệu khách hàng.,B,Rủi ro tồn kho và chi phí lưu kho.,"Trong drop-shipping, người bán không giữ hàng trong kho mà chuyển đơn cho nhà cung cấp để giao trực tiếp, do đó loại bỏ rủi ro tồn kho."
14,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,Spot buying (Mua ngay) trong B2B khác với Strategic sourcing (Tìm nguồn chiến lược) ở điểm nào?,Spot buying là mua theo hợp đồng dài hạn.,Spot buying là mua đột xuất theo nhu cầu tức thời.,Spot buying chỉ dành cho nguyên liệu trực tiếp.,Spot buying có giá ổn định hơn.,B,Spot buying là mua đột xuất theo nhu cầu tức thời.,"Spot buying đề cập đến việc mua hàng hóa và dịch vụ khi cần thiết (đột xuất) với giá thị trường tại thời điểm đó, khác với việc tìm nguồn cung ứng chiến lược dài hạn."
15,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Tại sao các ""Cổng thông tin chuyên biệt"" (Vortal/Vertical Portal) lại thu hút quảng cáo B2B hiệu quả hơn cổng thông tin đại chúng?",Vì chúng có lượng truy cập lớn hơn Google.,Vì chúng nhắm đúng đối tượng mục tiêu chuyên ngành.,Vì chi phí quảng cáo rẻ hơn nhiều.,Vì chúng không yêu cầu đăng ký.,B,Vì chúng nhắm đúng đối tượng mục tiêu chuyên ngành.,"Các cổng thông tin dọc (Vertical portals) tập trung vào một ngành hoặc cộng đồng sở thích cụ thể, giúp nhà quảng cáo tiếp cận chính xác đối tượng mục tiêu (Target audience) hiệu quả hơn."
16,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,Rủi ro lớn nhất đối với một Sàn giao dịch B2B công cộng (Public Exchange) dẫn đến sự sụp đổ là gì?,Quá nhiều người mua tham gia.,Thiếu tính thanh khoản (ít người mua/bán).,Chi phí phần mềm quá thấp.,Giao diện web quá đơn giản.,B,Thiếu tính thanh khoản (ít người mua/bán).,Sự thiếu hụt người tham gia (cả người mua và người bán) dẫn đến thiếu tính thanh khoản (liquidity) và khối lượng giao dịch tới hạn là nguyên nhân chính khiến các sàn giao dịch thất bại.
17,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Trong mô hình ""Content Provider"", thách thức lớn nhất về bản quyền (Intellectual Property) là gì?",Khó thu phí từ người dùng.,Nội dung số dễ bị sao chép và phân phối trái phép.,Chi phí sản xuất nội dung quá thấp.,Không thể quảng cáo trên trang web.,B,Nội dung số dễ bị sao chép và phân phối trái phép.,"Do sản phẩm là kỹ thuật số (tin tức, nhạc, video), việc bảo vệ bản quyền chống lại sự sao chép và phân phối lậu (piracy) là thách thức lớn."
18,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"Sự khác biệt giữa ""Nguyên liệu trực tiếp"" (Direct materials) và ""Nguyên liệu gián tiếp"" (MRO) ảnh hưởng thế nào đến mô hình mua sắm B2B?",Nguyên liệu trực tiếp thường mua qua Spot buying.,Nguyên liệu trực tiếp thường mua qua Hợp đồng chiến lược dài hạn.,MRO không bao giờ mua online.,Cả hai đều mua qua đấu giá ngược.,B,Nguyên liệu trực tiếp thường mua qua Hợp đồng chiến lược dài hạn.,"Nguyên liệu trực tiếp (để sản xuất) thường được mua qua quan hệ chiến lược dài hạn, trong khi MRO (bảo trì, sửa chữa) thường mua ngẫu nhiên hoặc qua catalog điện tử."
19,Chương_1_Tiết 7 Mô hình B2C và B2B,1,1,"""Channel Conflict"" (Xung đột kênh) xảy ra khi một nhà sản xuất áp dụng mô hình B2C nào?",Bán hàng qua trung gian phân phối.,Bán trực tiếp (Direct Sales) bỏ qua đại lý.,Chỉ bán hàng tại cửa hàng vật lý.,Không sử dụng Internet.,B,Bán trực tiếp (Direct Sales) bỏ qua đại lý.,"Khi nhà sản xuất bán trực tiếp cho người tiêu dùng (Direct marketing/sales) qua mạng, họ có thể gây mâu thuẫn với các đối tác phân phối truyền thống (nhà bán buôn, bán lẻ) của chính họ."
