ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Trong mô hình Thương mại điện tử C2C, các bên tham gia giao dịch chính là ai?",Doanh nghiệp và Chính phủ.,Cá nhân với cá nhân.,Doanh nghiệp bán cho đại lý.,Nhà sản xuất và nhà bán buôn.,B,Cá nhân với cá nhân.,C2C (Consumer-to-Consumer) đề cập đến các giao dịch điện tử được thực hiện giữa và trong số các cá nhân/người tiêu dùng.
2,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Website nào sau đây là ví dụ điển hình cho mô hình C2C thông qua đấu giá trực tuyến?,Amazon.com.,Walmart.com.,eBay.com.,Dell.com.,C,eBay.com.,"eBay là nền tảng nổi tiếng nhất cho các giao dịch C2C, nơi các cá nhân bán hoặc mua sản phẩm trực tiếp với nhau, thường thông qua đấu giá."
3,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Mô hình kinh doanh mà cá nhân tạo ra giá trị và bán lại cho doanh nghiệp được gọi là gì?,B2C.,C2B.,B2B.,G2C.,B,C2B.,"Trong C2B (Consumer-to-Business), cá nhân sử dụng Internet để bán sản phẩm hoặc dịch vụ cho các tổ chức/doanh nghiệp."
4,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Hoạt động ""Crowdsourcing"" (Huy động nguồn lực cộng đồng) thuộc nhóm mô hình nào?",B2B.,C2B.,G2G.,B2E.,B,C2B.,"Crowdsourcing tận dụng trí tuệ hoặc sức lao động của đám đông (người tiêu dùng) để giải quyết vấn đề cho doanh nghiệp, thuộc phạm vi C2B."
5,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Facebook Marketplace chủ yếu hỗ trợ loại hình giao dịch nào giữa các thành viên?,Doanh nghiệp bán sỉ.,Mua bán cá nhân (C2C).,Chính phủ đấu thầu.,Bán nguyên liệu sản xuất.,B,Mua bán cá nhân (C2C).,"Facebook Marketplace là nơi người dùng cá nhân có thể khám phá, mua và bán các mặt hàng với những người khác trong cộng đồng của họ."
6,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Trang web ""Chợ Tốt"" (Chotot) tại Việt Nam hoạt động chủ yếu dựa trên hình thức nào?",Bán lẻ chính hãng.,Rao vặt trực tuyến.,Đấu giá ngược B2B.,Phân phối độc quyền.,B,Rao vặt trực tuyến.,"Chợ Tốt hoạt động như một nền tảng rao vặt (classified ads), nơi cá nhân đăng tin bán đồ cũ hoặc mới cho người khác."
7,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Trong mô hình C2B của Priceline, ai là người đưa ra mức giá khởi điểm cho dịch vụ?",Khách sạn.,Khách hàng.,Hãng hàng không.,Chính phủ.,B,Khách hàng.,"Trong mô hình ""Name-Your-Own-Price"" của Priceline, người mua (khách hàng) đưa ra mức giá họ muốn trả, và doanh nghiệp quyết định chấp nhận hay không."
8,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Influencer Marketing (Tiếp thị qua người ảnh hưởng) thể hiện đặc điểm C2B như thế nào?,Cá nhân bán sức ảnh hưởng cho nhãn hàng.,Nhãn hàng bán sản phẩm cho người nổi tiếng.,Doanh nghiệp trả lương cứng cho khách.,Người dùng mua hàng giá cao hơn.,A,Cá nhân bán sức ảnh hưởng cho nhãn hàng.,"Influencer cung cấp dịch vụ tiếp thị (sức ảnh hưởng) cho doanh nghiệp, tức là cá nhân tạo giá trị cho doanh nghiệp (C2B)."
9,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Sự khác biệt chính giữa ""Rao vặt"" (Classified Ads) và ""Đấu giá"" (Auctions) trong C2C là gì?",Rao vặt thường không tích hợp thanh toán ngay.,Rao vặt luôn có giá bán cao hơn.,Đấu giá không cần người trung gian.,Rao vặt chỉ dành cho doanh nghiệp lớn.,A,Rao vặt thường không tích hợp thanh toán ngay.,"Các trang rao vặt (như Craigslist, Chợ Tốt) thường chỉ liệt kê thông tin; giao dịch và thanh toán diễn ra trực tiếp bên ngoài, khác với eBay có tích hợp thanh toán."
10,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Tại sao các nền tảng C2C như eBay hay Chotot cần đạt được ""Critical Mass"" (Khối lượng tới hạn)?",Để giảm chi phí vận hành kho.,Để tạo hiệu ứng mạng lưới.,Để tránh bị đánh thuế.,Để hạn chế người dùng ảo.,B,Để tạo hiệu ứng mạng lưới.,"Cần có đủ số lượng người mua để thu hút người bán và ngược lại (hiệu ứng mạng lưới), nếu không sàn giao dịch sẽ không có giá trị."
11,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Rủi ro lớn nhất mà người mua thường gặp phải khi giao dịch trên nền tảng C2C là gì?,Giá sản phẩm quá đắt.,Chất lượng khó kiểm chứng.,Thời gian giao hàng quá nhanh.,Không có nhiều lựa chọn hàng hóa.,B,Chất lượng khó kiểm chứng.,Thiếu lòng tin và khó khăn trong việc kiểm định chất lượng hàng hóa thực tế từ người bán cá nhân là rủi ro lớn của C2C.
12,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Hoạt động nào sau đây là ví dụ của Crowdsourcing trong mô hình C2B?,Khách hàng mua cà phê tại quán.,Khách hàng đóng góp ý tưởng sản phẩm mới.,Doanh nghiệp thuê chuyên gia tư vấn.,Nhân viên bán hàng cho khách.,B,Khách hàng đóng góp ý tưởng sản phẩm mới.,"Ví dụ như ""My Starbucks Idea"", nơi khách hàng đóng góp ý tưởng để doanh nghiệp cải thiện sản phẩm/dịch vụ."
13,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Mô hình Etsy khác biệt với eBay chủ yếu ở loại hàng hóa nào?,Đồ điện tử cũ.,Đồ thủ công và Vintage.,Xe ô tô đã qua sử dụng.,Bất động sản và nhà đất.,B,Đồ thủ công và Vintage.,"Etsy là thị trường ngách tập trung vào các sản phẩm thủ công (handmade), đồ cổ điển (vintage) và vật tư thủ công."
14,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Trong mô hình C2C, vai trò của bên trung gian (như Shopee, eBay) chủ yếu là gì?",Sản xuất hàng hóa.,Cung cấp nền tảng kết nối.,Mua đứt bán đoạn sản phẩm.,Định giá sản phẩm cho người bán.,B,Cung cấp nền tảng kết nối.,Các sàn C2C đóng vai trò trung gian cung cấp nền tảng công nghệ và quy tắc để các cá nhân tự giao dịch với nhau.
15,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Tại sao mô hình C2C thường yêu cầu dịch vụ ""Escrow"" (Ký quỹ/Thanh toán đảm bảo)?",Để tăng lợi nhuận cho sàn.,Để giải quyết vấn đề thiếu lòng tin.,Vì ngân hàng bắt buộc sử dụng.,Để làm chậm quá trình giao hàng.,B,Để giải quyết vấn đề thiếu lòng tin.,"Do người mua và bán là cá nhân xa lạ, thiếu tin tưởng, dịch vụ Escrow giữ tiền và chỉ chuyển cho người bán khi người mua đã nhận hàng ưng ý."
16,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Một thách thức pháp lý lớn đối với mô hình Kinh tế chia sẻ (như Airbnb) trong nhóm C2C/P2P là gì?,Chi phí công nghệ quá cao.,Các quy định về thuế và an toàn.,Thiếu người có nhu cầu thuê nhà.,Khách hàng không thích giá rẻ.,B,Các quy định về thuế và an toàn.,"Các mô hình chia sẻ tài sản cá nhân thường vấp phải các rào cản pháp lý về đóng thuế, bảo hiểm và quy định an toàn so với kinh doanh truyền thống."
17,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,Yếu tố nào giúp mô hình C2B (như Priceline) tạo ra lợi thế cho người tiêu dùng?,Doanh nghiệp áp đặt giá cố định.,Khách hàng có quyền lực định giá.,Sản phẩm luôn có chất lượng thấp.,Giảm sự cạnh tranh giữa các doanh nghiệp.,B,Khách hàng có quyền lực định giá.,"C2B đảo ngược quy trình truyền thống, trao quyền lực (empowerment) cho người tiêu dùng trong việc định giá hoặc yêu cầu dịch vụ."
18,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Khi Influencer (KOL) quảng cáo sản phẩm không đúng sự thật, rủi ro lớn nhất cho nhãn hàng là gì?",Tăng doanh số bán hàng.,Mất uy tín và khủng hoảng truyền thông.,Phải trả thêm tiền cho Influencer.,Không ảnh hưởng gì đến thương hiệu.,B,Mất uy tín và khủng hoảng truyền thông.,"Trong mô hình C2B này, uy tín của thương hiệu gắn liền với cá nhân Influencer; thông tin sai lệch sẽ gây thiệt hại nghiêm trọng về lòng tin (Trust)."
19,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Nền tảng ""User-Generated Content"" (Nội dung do người dùng tạo) hỗ trợ mô hình C2B như thế nào?",Người dùng tạo nội dung quảng cáo miễn phí.,Doanh nghiệp tự viết tất cả nội dung.,Cấm người dùng đánh giá sản phẩm.,Chỉ cho phép chuyên gia viết bài.,A,Người dùng tạo nội dung quảng cáo miễn phí.,"UGC (như review, video unbox) là tài sản mà người dùng (C) tạo ra và mang lại giá trị marketing/thương hiệu cho doanh nghiệp (B)."
20,Chương_1_Tiết 8 Mô hình C2C và C2B,1,1,"Trong bối cảnh Việt Nam, sự khác biệt chính giữa Facebook Marketplace và Shopee là gì?",Shopee không có hàng cũ.,Facebook Marketplace thiếu hỗ trợ thanh toán/ship.,Facebook Marketplace thu phí người bán cao hơn.,Shopee chỉ dành cho doanh nghiệp lớn.,B,Facebook Marketplace thiếu hỗ trợ thanh toán/ship.,"Facebook Marketplace tại VN chủ yếu là nơi kết nối (classifieds), người mua bán tự lo thanh toán/vận chuyển, trong khi Shopee (sàn) hỗ trợ toàn diện các khâu này."
