ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"""Mô hình kinh doanh"" (Business Model) trong TMĐT được định nghĩa là gì?",Bản danh sách nhân viên công ty.,Phương pháp tạo ra doanh thu và giá trị.,Báo cáo tài chính cuối năm.,Quy trình sản xuất tại nhà máy.,B,Phương pháp tạo ra doanh thu và giá trị.,"Mô hình kinh doanh mô tả cách thức một công ty tạo ra giá trị, đem lại giá trị đó cho khách hàng và thu được lợi nhuận từ giá trị đó."
2,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Thành phần nào trong mô hình kinh doanh mô tả ""Lý do khách hàng nên chọn mua từ bạn""?",Cơ cấu chi phí.,Đề xuất giá trị (Value Proposition).,Đối tác chính.,Kênh phân phối.,B,Đề xuất giá trị (Value Proposition).,"Đề xuất giá trị mô tả các lợi ích (hữu hình và vô hình) mà công ty cung cấp cho khách hàng, Giải thích tại sao họ nên mua sản phẩm/dịch vụ đó."
3,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Mô hình doanh thu ""Subscription"" (Đăng ký thuê bao) thường thấy ở dịch vụ nào?",Mua bán bất động sản.,Xem phim trên Netflix.,Mua xăng tại trạm.,Mua rau ngoài chợ.,B,Xem phim trên Netflix.,"Mô hình doanh thu đăng ký (Subscription) yêu cầu người dùng trả phí định kỳ để truy cập dịch vụ, điển hình như Netflix hay Spotify."
4,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Khi một doanh nghiệp sản xuất bán trực tiếp cho người tiêu dùng, họ đang thực hiện chiến lược gì?",Tăng thêm trung gian.,Phi trung gian hóa (Disintermediation).,Tiếp thị liên kết.,Nhượng quyền thương hiệu.,B,Phi trung gian hóa (Disintermediation).,"Disintermediation là việc loại bỏ các trung gian (như nhà bán buôn, bán lẻ) để nhà sản xuất bán trực tiếp cho người tiêu dùng cuối cùng."
5,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Trong mô hình ""Freemium"", doanh thu chủ yếu đến từ đâu?",Tất cả người dùng đều trả phí.,Phí nâng cấp dịch vụ cao cấp.,Tài trợ của chính phủ.,Tiền quyên góp từ thiện.,B,Phí nâng cấp dịch vụ cao cấp.,Freemium cung cấp dịch vụ cơ bản miễn phí để thu hút người dùng và thu phí từ các tính năng cao cấp (premium) hoặc nhóm người dùng chuyên sâu.
6,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,Yếu tố nào là rủi ro lớn nhất khi doanh nghiệp truyền thống chuyển sang bán hàng trực tuyến B2C?,Giảm chi phí vận hành.,Xung đột kênh (Channel Conflict).,Tăng lượng khách hàng.,Mở rộng thị trường.,B,Xung đột kênh (Channel Conflict).,Xung đột kênh xảy ra khi việc bán trực tiếp online của nhà sản xuất cạnh tranh và gây mâu thuẫn lợi ích với các đối tác phân phối truyền thống hiện có.
7,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,Amazon ban đầu sử dụng mô hình kinh doanh nào?,Sàn giao dịch đấu giá.,Nhà bán lẻ trực tuyến (E-tailer).,Mạng xã hội.,Cổng thông tin tin tức.,B,Nhà bán lẻ trực tuyến (E-tailer).,"Amazon khởi đầu là một nhà bán lẻ trực tuyến (E-tailer/Merchant) bán sách, mua hàng từ nhà xuất bản và bán lại cho người tiêu dùng."
8,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Tại sao các công ty nội dung số (như báo điện tử) thường chuyển từ mô hình ""Miễn phí"" sang ""Thu phí/Quảng cáo""?",Vì không ai đọc tin tức nữa.,Để đảm bảo nguồn thu bền vững.,Để giảm lượng truy cập website.,Vì chi phí in ấn tăng cao.,B,Để đảm bảo nguồn thu bền vững.,Các mô hình kinh doanh nội dung cần tìm kiếm nguồn thu bền vững từ quảng cáo hoặc phí đăng ký để bù đắp chi phí sản xuất nội dung chất lượng.
9,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Mô hình ""Affiliate Marketing"" (Tiếp thị liên kết) tạo ra giá trị cho người giới thiệu thông qua cơ chế nào?",Trả lương cứng hàng tháng.,Hoa hồng trên mỗi đơn hàng thành công.,Tặng cổ phiếu công ty.,Miễn phí vận chuyển.,B,Hoa hồng trên mỗi đơn hàng thành công.,"Trong mô hình Affiliate, các đối tác (trang web liên kết) nhận được phí hoa hồng khi giới thiệu khách hàng thực hiện hành vi mua hàng hoặc click chuột."
10,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Case Study: Yếu tố nào giúp mô hình ""Click-and-mortar"" (như Walmart) cạnh tranh được với ""Pure-play"" (như Amazon)?",Giá sản phẩm luôn rẻ hơn.,Tận dụng mạng lưới cửa hàng làm kho/điểm nhận.,Không tốn chi phí duy trì website.,Chỉ bán hàng vào giờ hành chính.,B,Tận dụng mạng lưới cửa hàng làm kho/điểm nhận.,"Mô hình Click-and-mortar tận dụng lợi thế đa kênh (Omnichannel), sử dụng cửa hàng vật lý làm điểm giao nhận, đổi trả và trải nghiệm, tạo sự thuận tiện,."
11,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Trong phân tích ZMOT (Zero Moment of Truth), doanh nghiệp cần làm gì để thắng lợi?",Mở nhiều cửa hàng vật lý nhất.,Hiện diện và cung cấp thông tin đúng lúc khách tìm kiếm.,Chỉ chạy quảng cáo trên tivi.,Giảm chất lượng để hạ giá thành.,B,Hiện diện và cung cấp thông tin đúng lúc khách tìm kiếm.,ZMOT là khoảnh khắc khách hàng tra cứu thông tin online; doanh nghiệp cần cung cấp thông tin hữu ích ngay lúc đó để thuyết phục khách hàng.
12,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Chiến lược ""Long Tail"" (Cái đuôi dài) trong mô hình kinh doanh số tận dụng lợi thế gì?",Chi phí lưu kho và trưng bày số thấp.,Chỉ bán các sản phẩm nổi tiếng nhất.,Tập trung vào một nhóm khách hàng nhỏ.,Tăng giá bán các mặt hàng phổ thông.,A,Chi phí lưu kho và trưng bày số thấp.,"Mô hình Long Tail tận dụng chi phí trưng bày/lưu kho kỹ thuật số thấp để bán số lượng lớn các mặt hàng ngách (ít phổ biến), tạo ra doanh thu tổng hợp lớn."
13,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Một thách thức chính của mô hình ""Dropshipping"" đối với người bán lẻ là gì?",Phải đầu tư kho bãi lớn.,Khó kiểm soát chất lượng và giao hàng.,Phải tự sản xuất hàng hóa.,Rủi ro tồn kho cao.,B,Khó kiểm soát chất lượng và giao hàng.,"Trong Dropshipping, người bán phụ thuộc vào nhà cung cấp để giao hàng, do đó khó kiểm soát trực tiếp chất lượng sản phẩm và thời gian giao hàng đến tay khách."
14,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,Giá trị cốt lõi của mô hình C2B (như Priceline) mang lại cho người tiêu dùng là gì?,Mua sản phẩm với giá cố định.,Quyền lực định giá/đề xuất giá.,Phải mua số lượng lớn.,Thời gian giao hàng nhanh nhất.,B,Quyền lực định giá/đề xuất giá.,"Mô hình C2B đảo ngược quy trình, cho phép người tiêu dùng đưa ra mức giá họ muốn trả (Name-your-own-price), tăng quyền lực cho người mua."
15,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,Case Study: Sự sụp đổ của Borders (nhà sách truyền thống) so với sự trỗi dậy của Amazon chủ yếu do đâu?,Borders bán sách giá quá cao.,Chậm thích ứng và chuyển đổi số.,Amazon có cửa hàng đẹp hơn.,Borders không có sách hay.,B,Chậm thích ứng và chuyển đổi số.,"Borders thất bại vì chậm chạp trong việc thích ứng với mô hình kinh doanh trực tuyến và chuyển đổi số, trong khi Amazon liên tục đổi mới công nghệ và quy trình."
16,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"""Hiệu ứng mạng"" (Network Effect) là yếu tố sống còn đối với mô hình kinh doanh nào nhất?",Bán lẻ hàng tạp hóa.,Sàn giao dịch và Mạng xã hội.,Sản xuất máy móc công nghiệp.,Dịch vụ tư vấn pháp luật.,B,Sàn giao dịch và Mạng xã hội.,Các nền tảng (Platform) như sàn giao dịch hay mạng xã hội dựa vào hiệu ứng mạng: giá trị của nền tảng tăng lên khi có càng nhiều người tham gia.
17,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Khi phân tích mô hình doanh thu, tại sao ""Customer Acquisition Cost"" (CAC) phải thấp hơn ""Customer Lifetime Value"" (CLV/LTV)?",Để báo cáo thuế dễ dàng hơn.,Để đảm bảo lợi nhuận dài hạn.,Để tăng số lượng nhân viên.,Để giảm giá bán sản phẩm.,B,Để đảm bảo lợi nhuận dài hạn.,"Để mô hình kinh doanh bền vững và có lãi, chi phí bỏ ra để có một khách hàng mới (CAC) phải thấp hơn tổng giá trị mà khách hàng đó mang lại trong suốt vòng đời (LTV)."
18,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Sự khác biệt giữa ""Số hóa quy trình"" (Digitization) và ""Chuyển đổi số"" (Digital Transformation) trong mô hình kinh doanh là gì?",Số hóa chỉ là bước đệm; Chuyển đổi số thay đổi mô hình tạo giá trị.,Chuyển đổi số chỉ dùng cho công ty lớn.,Số hóa tốn kém hơn chuyển đổi số.,"Cả hai là một, không có khác biệt.",A,Số hóa chỉ là bước đệm; Chuyển đổi số thay đổi mô hình tạo giá trị.,"Số hóa (Digitization) là chuyển dữ liệu sang dạng số, trong khi Chuyển đổi số (Digital Transformation) là việc sử dụng công nghệ để thay đổi căn bản cách thức vận hành và tạo ra giá trị mới."
19,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Trong mô hình kinh doanh nền tảng (Platform Business Model), vai trò chính của doanh nghiệp chủ sở hữu là gì?",Tự sản xuất tất cả hàng hóa.,Kết nối và tạo thuận lợi cho các bên.,Mua đứt bán đoạn mọi sản phẩm.,Kiểm soát toàn bộ giá cả thị trường.,B,Kết nối và tạo thuận lợi cho các bên.,"Doanh nghiệp nền tảng (như Uber, Airbnb, Alibaba) không sở hữu tài sản cung ứng mà tập trung vào việc kết nối, tạo thuận lợi và khớp nối giao dịch giữa người mua và người bán."
20,Chương_1_Tiết 9 Phân tích Mô hình & Đánh giá,1,1,"Case Study Dell: Chiến lược ""Direct-to-Customer"" (Bán trực tiếp) kết hợp với ""Build-to-Order"" (Sản xuất theo đơn) giúp Dell tối ưu hóa điều gì nhất?",Chi phí quảng cáo trên tivi.,Tồn kho và vòng quay vốn.,Số lượng cửa hàng bán lẻ.,Chi phí vận chuyển đường biển.,B,Tồn kho và vòng quay vốn.,"Mô hình trực tiếp và sản xuất theo đơn giúp Dell loại bỏ trung gian, giảm thiểu hàng tồn kho linh kiện/thành phẩm và thu tiền trước khi phải trả cho nhà cung cấp (dòng tiền âm)."
